"","year","evangelical","mainline","catholic","blackprot","jewish","otherfaith","nofaith","reltrad","partyid"
"1",1972,0,0,0,0,1,0,0,5,2
"2",1972,0,0,1,0,0,0,0,4,1
"3",1972,0,1,0,0,0,0,0,2,3
"4",1972,0,0,0,0,0,1,0,6,1
"5",1972,0,1,0,0,0,0,0,2,0
"6",1972,0,1,0,0,0,0,0,2,2
"7",1972,0,0,1,0,0,0,0,4,2
"8",1972,0,0,0,0,1,0,0,5,2
"9",1972,0,0,0,1,0,0,0,3,0
"10",1972,1,0,0,0,0,0,0,1,0
"11",1972,1,0,0,0,0,0,0,1,0
"12",1972,1,0,0,0,0,0,0,1,5
"13",1972,0,0,0,1,0,0,0,3,0
"14",1972,0,0,0,1,0,0,0,3,1
"15",1972,1,0,0,0,0,0,0,1,0
"16",1972,0,0,0,1,0,0,0,3,0
"17",1972,1,0,0,0,0,0,0,1,4
"18",1972,1,0,0,0,0,0,0,1,4
"19",1972,1,0,0,0,0,0,0,1,2
"20",1972,0,1,0,0,0,0,0,2,4
"21",1972,0,1,0,0,0,0,0,2,2
"22",1972,1,0,0,0,0,0,0,1,1
"23",1972,1,0,0,0,0,0,0,1,2
"24",1972,0,0,0,0,0,0,0,NaN,4
"25",1972,1,0,0,0,0,0,0,1,6
"26",1972,0,0,1,0,0,0,0,4,4
"27",1972,1,0,0,0,0,0,0,1,3
"28",1972,1,0,0,0,0,0,0,1,2
"29",1972,0,1,0,0,0,0,0,2,3
"30",1972,1,0,0,0,0,0,0,1,5
"31",1972,0,1,0,0,0,0,0,2,6
"32",1972,0,1,0,0,0,0,0,2,4
"33",1972,0,1,0,0,0,0,0,2,0
"34",1972,0,1,0,0,0,0,0,2,5
"35",1972,0,1,0,0,0,0,0,2,2
"36",1972,0,0,1,0,0,0,0,4,1
"37",1972,0,1,0,0,0,0,0,2,5
"38",1972,1,0,0,0,0,0,0,1,1
"39",1972,1,0,0,0,0,0,0,1,6
"40",1972,1,0,0,0,0,0,0,1,5
"41",1972,1,0,0,0,0,0,0,1,0
"42",1972,1,0,0,0,0,0,0,1,5
"43",1972,0,1,0,0,0,0,0,2,4
"44",1972,0,1,0,0,0,0,0,2,2
"45",1972,0,0,1,0,0,0,0,4,5
"46",1972,0,1,0,0,0,0,0,2,3
"47",1972,0,0,1,0,0,0,0,4,1
"48",1972,0,1,0,0,0,0,0,2,NA
"49",1972,0,1,0,0,0,0,0,2,1
"50",1972,0,1,0,0,0,0,0,2,6
"51",1972,0,0,1,0,0,0,0,4,0
"52",1972,0,0,1,0,0,0,0,4,2
"53",1972,0,0,1,0,0,0,0,4,2
"54",1972,1,0,0,0,0,0,0,1,4
"55",1972,0,0,1,0,0,0,0,4,0
"56",1972,0,0,1,0,0,0,0,4,3
"57",1972,0,0,1,0,0,0,0,4,0
"58",1972,0,0,1,0,0,0,0,4,0
"59",1972,0,1,0,0,0,0,0,2,0
"60",1972,0,1,0,0,0,0,0,2,1
"61",1972,0,1,0,0,0,0,0,2,5
"62",1972,0,1,0,0,0,0,0,2,5
"63",1972,0,1,0,0,0,0,0,2,6
"64",1972,0,0,1,0,0,0,0,4,6
"65",1972,0,1,0,0,0,0,0,2,5
"66",1972,0,0,0,0,0,1,0,6,NA
"67",1972,0,0,1,0,0,0,0,4,NA
"68",1972,0,1,0,0,0,0,0,2,3
"69",1972,0,0,1,0,0,0,0,4,2
"70",1972,0,0,1,0,0,0,0,4,5
"71",1972,0,1,0,0,0,0,0,2,1
"72",1972,1,0,0,0,0,0,0,1,2
"73",1972,0,0,1,0,0,0,0,4,5
"74",1972,0,0,1,0,0,0,0,4,3
"75",1972,0,0,1,0,0,0,0,4,1
"76",1972,0,0,0,0,0,0,1,7,2
"77",1972,0,0,1,0,0,0,0,4,1
"78",1972,0,1,0,0,0,0,0,2,0
"79",1972,0,0,1,0,0,0,0,4,5
"80",1972,0,0,1,0,0,0,0,4,3
"81",1972,0,1,0,0,0,0,0,2,1
"82",1972,0,1,0,0,0,0,0,2,4
"83",1972,0,0,0,0,0,0,1,7,4
"84",1972,1,0,0,0,0,0,0,1,NA
"85",1972,0,0,0,0,0,1,0,6,3
"86",1972,0,1,0,0,0,0,0,2,5
"87",1972,0,0,1,0,0,0,0,4,1
"88",1972,0,0,0,0,0,1,0,6,NA
"89",1972,0,0,0,0,0,0,1,7,2
"90",1972,0,0,1,0,0,0,0,4,1
"91",1972,0,0,0,0,0,0,1,7,3
"92",1972,0,1,0,0,0,0,0,2,0
"93",1972,0,0,0,0,0,1,0,6,NA
"94",1972,0,1,0,0,0,0,0,2,5
"95",1972,0,1,0,0,0,0,0,2,1
"96",1972,0,1,0,0,0,0,0,2,6
"97",1972,0,1,0,0,0,0,0,2,5
"98",1972,0,1,0,0,0,0,0,2,6
"99",1972,0,1,0,0,0,0,0,2,2
"100",1972,1,0,0,0,0,0,0,1,2
"101",1972,1,0,0,0,0,0,0,1,5
"102",1972,0,1,0,0,0,0,0,2,1
"103",1972,0,1,0,0,0,0,0,2,2
"104",1972,0,1,0,0,0,0,0,2,0
"105",1972,0,1,0,0,0,0,0,2,1
"106",1972,0,0,0,0,0,0,1,7,1
"107",1972,0,0,0,0,0,1,0,6,6
"108",1972,0,0,0,0,0,1,0,6,2
"109",1972,0,0,0,0,0,1,0,6,1
"110",1972,1,0,0,0,0,0,0,1,0
"111",1972,1,0,0,0,0,0,0,1,NA
"112",1972,0,0,0,1,0,0,0,3,0
"113",1972,1,0,0,0,0,0,0,1,1
"114",1972,0,0,1,0,0,0,0,4,0
"115",1972,0,0,1,0,0,0,0,4,0
"116",1972,0,0,0,0,1,0,0,5,2
"117",1972,0,0,0,1,0,0,0,3,1
"118",1972,0,0,0,1,0,0,0,3,3
"119",1972,0,0,0,1,0,0,0,3,6
"120",1972,0,0,0,1,0,0,0,3,1
"121",1972,0,0,0,1,0,0,0,3,4
"122",1972,0,0,0,1,0,0,0,3,0
"123",1972,0,0,0,1,0,0,0,3,0
"124",1972,0,0,0,1,0,0,0,3,0
"125",1972,0,0,1,0,0,0,0,4,0
"126",1972,0,0,0,0,0,0,1,7,0
"127",1972,0,0,0,0,0,0,1,7,5
"128",1972,0,0,1,0,0,0,0,4,2
"129",1972,0,0,1,0,0,0,0,4,1
"130",1972,0,1,0,0,0,0,0,2,0
"131",1972,0,0,1,0,0,0,0,4,2
"132",1972,0,0,1,0,0,0,0,4,2
"133",1972,0,0,1,0,0,0,0,4,4
"134",1972,0,1,0,0,0,0,0,2,1
"135",1972,1,0,0,0,0,0,0,1,1
"136",1972,1,0,0,0,0,0,0,1,1
"137",1972,1,0,0,0,0,0,0,1,1
"138",1972,1,0,0,0,0,0,0,1,NA
"139",1972,0,0,1,0,0,0,0,4,5
"140",1972,0,1,0,0,0,0,0,2,5
"141",1972,0,1,0,0,0,0,0,2,5
"142",1972,1,0,0,0,0,0,0,1,1
"143",1972,0,0,0,0,1,0,0,5,3
"144",1972,0,1,0,0,0,0,0,2,6
"145",1972,1,0,0,0,0,0,0,1,1
"146",1972,1,0,0,0,0,0,0,1,1
"147",1972,1,0,0,0,0,0,0,1,2
"148",1972,1,0,0,0,0,0,0,1,1
"149",1972,0,1,0,0,0,0,0,2,1
"150",1972,0,1,0,0,0,0,0,2,5
"151",1972,0,0,0,0,0,0,1,7,3
"152",1972,0,0,1,0,0,0,0,4,2
"153",1972,0,0,1,0,0,0,0,4,6
"154",1972,0,0,1,0,0,0,0,4,0
"155",1972,0,1,0,0,0,0,0,2,2
"156",1972,1,0,0,0,0,0,0,1,1
"157",1972,0,1,0,0,0,0,0,2,0
"158",1972,0,1,0,0,0,0,0,2,3
"159",1972,0,0,1,0,0,0,0,4,2
"160",1972,0,0,0,0,0,0,0,NaN,2
"161",1972,0,1,0,0,0,0,0,2,4
"162",1972,1,0,0,0,0,0,0,1,4
"163",1972,1,0,0,0,0,0,0,1,3
"164",1972,0,1,0,0,0,0,0,2,0
"165",1972,0,0,0,0,0,0,1,7,2
"166",1972,0,0,0,0,0,0,1,7,3
"167",1972,0,1,0,0,0,0,0,2,3
"168",1972,0,0,0,0,0,0,1,7,3
"169",1972,0,1,0,0,0,0,0,2,6
"170",1972,0,0,1,0,0,0,0,4,2
"171",1972,0,1,0,0,0,0,0,2,6
"172",1972,0,0,0,0,0,0,1,7,3
"173",1972,0,0,0,0,0,0,1,7,NA
"174",1972,0,0,1,0,0,0,0,4,5
"175",1972,0,1,0,0,0,0,0,2,6
"176",1972,0,1,0,0,0,0,0,2,5
"177",1972,1,0,0,0,0,0,0,1,4
"178",1972,0,0,0,0,0,0,1,7,NA
"179",1972,0,0,0,0,0,0,1,7,2
"180",1972,0,1,0,0,0,0,0,2,2
"181",1972,0,0,0,1,0,0,0,3,0
"182",1972,0,0,0,1,0,0,0,3,2
"183",1972,0,0,0,1,0,0,0,3,0
"184",1972,0,0,0,1,0,0,0,3,0
"185",1972,0,0,0,1,0,0,0,3,0
"186",1972,0,0,0,1,0,0,0,3,0
"187",1972,0,0,0,1,0,0,0,3,1
"188",1972,0,0,1,0,0,0,0,4,1
"189",1972,0,1,0,0,0,0,0,2,4
"190",1972,0,0,1,0,0,0,0,4,3
"191",1972,0,1,0,0,0,0,0,2,4
"192",1972,0,1,0,0,0,0,0,2,4
"193",1972,0,0,1,0,0,0,0,4,2
"194",1972,0,0,1,0,0,0,0,4,6
"195",1972,0,0,0,0,0,1,0,6,2
"196",1972,0,1,0,0,0,0,0,2,0
"197",1972,1,0,0,0,0,0,0,1,1
"198",1972,0,1,0,0,0,0,0,2,1
"199",1972,0,0,1,0,0,0,0,4,1
"200",1972,1,0,0,0,0,0,0,1,5
"201",1972,0,1,0,0,0,0,0,2,6
"202",1972,0,1,0,0,0,0,0,2,NA
"203",1972,0,1,0,0,0,0,0,2,3
"204",1972,0,1,0,0,0,0,0,2,1
"205",1972,1,0,0,0,0,0,0,1,0
"206",1972,0,1,0,0,0,0,0,2,0
"207",1972,1,0,0,0,0,0,0,1,1
"208",1972,1,0,0,0,0,0,0,1,1
"209",1972,0,0,0,0,0,0,0,NaN,5
"210",1972,0,0,1,0,0,0,0,4,1
"211",1972,0,1,0,0,0,0,0,2,0
"212",1972,1,0,0,0,0,0,0,1,1
"213",1972,1,0,0,0,0,0,0,1,0
"214",1972,0,0,0,1,0,0,0,3,0
"215",1972,0,0,0,1,0,0,0,3,1
"216",1972,0,0,0,1,0,0,0,3,1
"217",1972,0,0,0,1,0,0,0,3,5
"218",1972,0,0,0,1,0,0,0,3,NA
"219",1972,0,0,0,1,0,0,0,3,0
"220",1972,0,0,0,1,0,0,0,3,0
"221",1972,1,0,0,0,0,0,0,1,NA
"222",1972,0,0,1,0,0,0,0,4,5
"223",1972,0,0,1,0,0,0,0,4,6
"224",1972,0,0,1,0,0,0,0,4,5
"225",1972,0,1,0,0,0,0,0,2,5
"226",1972,0,1,0,0,0,0,0,2,5
"227",1972,0,1,0,0,0,0,0,2,6
"228",1972,0,0,0,0,0,0,1,7,5
"229",1972,0,1,0,0,0,0,0,2,5
"230",1972,0,0,1,0,0,0,0,4,1
"231",1972,0,0,1,0,0,0,0,4,2
"232",1972,1,0,0,0,0,0,0,1,4
"233",1972,0,1,0,0,0,0,0,2,4
"234",1972,0,1,0,0,0,0,0,2,2
"235",1972,0,1,0,0,0,0,0,2,5
"236",1972,1,0,0,0,0,0,0,1,3
"237",1972,0,0,0,0,0,0,1,7,3
"238",1972,1,0,0,0,0,0,0,1,0
"239",1972,1,0,0,0,0,0,0,1,0
"240",1972,1,0,0,0,0,0,0,1,NA
"241",1972,1,0,0,0,0,0,0,1,1
"242",1972,1,0,0,0,0,0,0,1,0
"243",1972,1,0,0,0,0,0,0,1,0
"244",1972,0,1,0,0,0,0,0,2,1
"245",1972,1,0,0,0,0,0,0,1,1
"246",1972,1,0,0,0,0,0,0,1,2
"247",1972,1,0,0,0,0,0,0,1,5
"248",1972,0,1,0,0,0,0,0,2,1
"249",1972,1,0,0,0,0,0,0,1,4
"250",1972,0,1,0,0,0,0,0,2,0
"251",1972,0,1,0,0,0,0,0,2,0
"252",1972,0,0,1,0,0,0,0,4,5
"253",1972,0,0,1,0,0,0,0,4,3
"254",1972,0,0,1,0,0,0,0,4,0
"255",1972,0,0,1,0,0,0,0,4,1
"256",1972,0,0,1,0,0,0,0,4,0
"257",1972,0,0,1,0,0,0,0,4,2
"258",1972,0,0,1,0,0,0,0,4,0
"259",1972,0,0,1,0,0,0,0,4,0
"260",1972,1,0,0,0,0,0,0,1,5
"261",1972,0,0,0,0,0,0,1,7,0
"262",1972,0,0,0,0,0,0,1,7,0
"263",1972,0,0,0,0,0,0,1,7,2
"264",1972,1,0,0,0,0,0,0,1,NA
"265",1972,1,0,0,0,0,0,0,1,5
"266",1972,0,1,0,0,0,0,0,2,NA
"267",1972,0,1,0,0,0,0,0,2,3
"268",1972,0,1,0,0,0,0,0,2,1
"269",1972,0,0,0,1,0,0,0,3,5
"270",1972,1,0,0,0,0,0,0,1,1
"271",1972,1,0,0,0,0,0,0,1,0
"272",1972,0,0,0,1,0,0,0,3,1
"273",1972,0,0,0,1,0,0,0,3,5
"274",1972,0,0,0,1,0,0,0,3,1
"275",1972,0,0,0,1,0,0,0,3,1
"276",1972,0,1,0,0,0,0,0,2,3
"277",1972,0,0,0,0,0,0,1,7,3
"278",1972,1,0,0,0,0,0,0,1,5
"279",1972,0,0,0,0,0,1,0,6,1
"280",1972,1,0,0,0,0,0,0,1,1
"281",1972,1,0,0,0,0,0,0,1,0
"282",1972,1,0,0,0,0,0,0,1,NA
"283",1972,0,1,0,0,0,0,0,2,5
"284",1972,1,0,0,0,0,0,0,1,NA
"285",1972,0,0,1,0,0,0,0,4,1
"286",1972,0,0,1,0,0,0,0,4,4
"287",1972,0,0,1,0,0,0,0,4,1
"288",1972,0,0,1,0,0,0,0,4,1
"289",1972,0,0,1,0,0,0,0,4,2
"290",1972,0,0,1,0,0,0,0,4,5
"291",1972,0,0,1,0,0,0,0,4,3
"292",1972,0,0,0,0,0,0,1,7,3
"293",1972,0,0,1,0,0,0,0,4,2
"294",1972,0,0,1,0,0,0,0,4,2
"295",1972,0,0,1,0,0,0,0,4,3
"296",1972,0,0,1,0,0,0,0,4,0
"297",1972,0,0,1,0,0,0,0,4,1
"298",1972,0,0,1,0,0,0,0,4,1
"299",1972,0,0,1,0,0,0,0,4,0
"300",1972,0,0,1,0,0,0,0,4,NA
"301",1972,0,0,0,1,0,0,0,3,0
"302",1972,0,0,0,1,0,0,0,3,0
"303",1972,0,0,0,1,0,0,0,3,2
"304",1972,0,0,0,1,0,0,0,3,0
"305",1972,0,0,0,1,0,0,0,3,1
"306",1972,0,0,0,1,0,0,0,3,0
"307",1972,0,0,0,1,0,0,0,3,1
"308",1972,0,0,0,1,0,0,0,3,1
"309",1972,0,0,0,1,0,0,0,3,0
"310",1972,0,0,0,1,0,0,0,3,0
"311",1972,0,0,0,1,0,0,0,3,5
"312",1972,0,0,0,1,0,0,0,3,5
"313",1972,0,0,0,1,0,0,0,3,0
"314",1972,0,0,0,1,0,0,0,3,1
"315",1972,0,0,0,1,0,0,0,3,0
"316",1972,0,0,0,1,0,0,0,3,5
"317",1972,0,0,1,0,0,0,0,4,2
"318",1972,0,0,0,0,0,0,1,7,0
"319",1972,0,0,1,0,0,0,0,4,NA
"320",1972,0,0,1,0,0,0,0,4,1
"321",1972,0,0,1,0,0,0,0,4,NA
"322",1972,0,0,1,0,0,0,0,4,0
"323",1972,1,0,0,0,0,0,0,1,1
"324",1972,0,0,1,0,0,0,0,4,NA
"325",1972,0,0,1,0,0,0,0,4,1
"326",1972,0,0,0,0,0,1,0,6,2
"327",1972,0,0,1,0,0,0,0,4,4
