"","year","evangelical","mainline","catholic","blackprot","jewish","otherfaith","nofaith","reltrad","partyid"
"1",1972,0,0,0,0,1,0,0,5,"Lean Democrat"
"2",1972,0,0,1,0,0,0,0,4,"Moderate Democrat"
"3",1972,0,1,0,0,0,0,0,2,"Independent"
"4",1972,0,0,0,0,0,1,0,6,"Moderate Democrat"
"5",1972,0,1,0,0,0,0,0,2,"Strong Democrat"
"6",1972,0,1,0,0,0,0,0,2,"Lean Democrat"
"7",1972,0,0,1,0,0,0,0,4,"Lean Democrat"
"8",1972,0,0,0,0,1,0,0,5,"Lean Democrat"
"9",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"10",1972,1,0,0,0,0,0,0,1,"Strong Democrat"
"11",1972,1,0,0,0,0,0,0,1,"Strong Democrat"
"12",1972,1,0,0,0,0,0,0,1,"Moderate Republican"
"13",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"14",1972,0,0,0,1,0,0,0,3,"Moderate Democrat"
"15",1972,1,0,0,0,0,0,0,1,"Strong Democrat"
"16",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"17",1972,1,0,0,0,0,0,0,1,"Lean Republican"
"18",1972,1,0,0,0,0,0,0,1,"Lean Republican"
"19",1972,1,0,0,0,0,0,0,1,"Lean Democrat"
"20",1972,0,1,0,0,0,0,0,2,"Lean Republican"
"21",1972,0,1,0,0,0,0,0,2,"Lean Democrat"
"22",1972,1,0,0,0,0,0,0,1,"Moderate Democrat"
"23",1972,1,0,0,0,0,0,0,1,"Lean Democrat"
"24",1972,0,0,0,0,0,0,0,NA,"Lean Republican"
"25",1972,1,0,0,0,0,0,0,1,"Strong Republican"
"26",1972,0,0,1,0,0,0,0,4,"Lean Republican"
"27",1972,1,0,0,0,0,0,0,1,"Independent"
"28",1972,1,0,0,0,0,0,0,1,"Lean Democrat"
"29",1972,0,1,0,0,0,0,0,2,"Independent"
"30",1972,1,0,0,0,0,0,0,1,"Moderate Republican"
"31",1972,0,1,0,0,0,0,0,2,"Strong Republican"
"32",1972,0,1,0,0,0,0,0,2,"Lean Republican"
"33",1972,0,1,0,0,0,0,0,2,"Strong Democrat"
"34",1972,0,1,0,0,0,0,0,2,"Moderate Republican"
"35",1972,0,1,0,0,0,0,0,2,"Lean Democrat"
"36",1972,0,0,1,0,0,0,0,4,"Moderate Democrat"
"37",1972,0,1,0,0,0,0,0,2,"Moderate Republican"
"38",1972,1,0,0,0,0,0,0,1,"Moderate Democrat"
"39",1972,1,0,0,0,0,0,0,1,"Strong Republican"
"40",1972,1,0,0,0,0,0,0,1,"Moderate Republican"
"41",1972,1,0,0,0,0,0,0,1,"Strong Democrat"
"42",1972,1,0,0,0,0,0,0,1,"Moderate Republican"
"43",1972,0,1,0,0,0,0,0,2,"Lean Republican"
"44",1972,0,1,0,0,0,0,0,2,"Lean Democrat"
"45",1972,0,0,1,0,0,0,0,4,"Moderate Republican"
"46",1972,0,1,0,0,0,0,0,2,"Independent"
"47",1972,0,0,1,0,0,0,0,4,"Moderate Democrat"
"48",1972,0,1,0,0,0,0,0,2,NA
"49",1972,0,1,0,0,0,0,0,2,"Moderate Democrat"
"50",1972,0,1,0,0,0,0,0,2,"Strong Republican"
"51",1972,0,0,1,0,0,0,0,4,"Strong Democrat"
"52",1972,0,0,1,0,0,0,0,4,"Lean Democrat"
"53",1972,0,0,1,0,0,0,0,4,"Lean Democrat"
"54",1972,1,0,0,0,0,0,0,1,"Lean Republican"
